iter	Passed	Remaining
480	596	643
481	597	642
482	598	640
483	599	639
484	600	637
485	600	635
486	601	633
487	602	631
488	603	630
489	603	628
490	604	626
491	605	624
492	606	623
493	607	622
494	608	620
495	609	619
496	610	618
497	611	616
498	612	614
499	612	612
500	613	611
501	614	609
502	615	607
503	615	605
504	616	604
505	617	602
506	618	601
507	619	599
508	620	598
509	621	597
510	622	595
511	623	594
512	624	592
513	625	591
514	625	589
515	626	587
516	627	585
517	628	584
518	628	582
519	629	581
520	630	579
521	631	578
522	633	577
523	634	576
524	635	575
525	636	573
526	638	572
527	638	571
528	640	569
529	641	568
530	642	567
531	643	565
532	644	564
533	645	562
534	645	561
535	646	559
536	647	558
537	648	556
538	649	555
539	650	554
540	651	552
541	652	551
542	653	549
543	653	548
544	654	546
545	655	544
546	656	543
547	656	541
548	657	540
549	658	538
550	659	537
551	660	536
552	661	534
553	662	533
554	663	531
555	664	530
556	664	528
557	665	527
558	666	525
559	667	524
560	667	522
561	668	521
562	669	519
563	669	517
564	671	516
565	672	515
566	673	514
567	674	513
568	675	511
569	675	509
570	676	508
571	677	506
572	678	505
573	678	503
574	679	502
575	680	500
576	680	499
577	681	497
578	682	496
579	684	495
580	685	494
581	686	492
582	686	491
583	687	489
584	689	489
585	691	488
586	692	487
587	695	487
588	697	486
589	698	485
590	698	483
591	700	482
592	701	481
593	702	479
594	703	478
595	704	477
596	705	476
597	706	475
598	708	474
599	709	472
600	710	471
601	711	470
602	712	469
603	713	467
604	715	466
605	715	465
606	717	464
607	719	463
608	720	462
609	721	461
610	722	459
611	723	458
612	724	457
613	724	455
614	725	454
615	726	452
616	727	451
617	729	450
618	730	449
619	732	448
620	733	447
621	734	446
622	734	444
623	735	443
624	736	442
625	737	440
626	738	439
627	739	437
628	740	436
629	743	436
630	744	435
631	745	434
632	746	432
633	747	431
634	747	429
635	748	428
636	749	427
637	750	425
638	752	424
639	754	424
640	756	423
641	757	422
642	758	421
643	761	420
644	762	419
645	767	420
646	768	419
647	769	418
648	770	416
649	771	415
650	772	413
651	773	412
652	774	411
653	775	410
654	777	409
655	780	409
656	781	408
657	783	407
658	785	406
659	787	405
660	788	404
661	791	404
662	793	403
663	794	401
664	795	400
665	796	399
666	797	397
667	798	396
668	802	397
669	804	396
670	807	395
671	808	394
672	809	393
673	809	391
674	811	390
675	812	389
676	814	388
677	815	387
678	816	386
679	817	384
680	818	383
681	819	382
682	820	380
683	821	379
684	822	378
685	823	377
686	825	375
687	825	374
688	826	373
689	827	371
690	828	370
691	829	369
692	830	367
693	831	366
694	832	365
695	833	364
696	835	363
697	836	361
698	837	360
699	839	359
700	840	358
701	841	357
702	842	355
703	842	354
704	843	353
705	844	351
706	845	350
707	847	349
708	848	348
709	849	347
710	850	345
711	851	344
712	852	343
713	853	341
714	854	340
715	854	339
716	855	337
717	856	336
718	857	335
719	859	334
720	860	333
721	861	331
722	862	330
723	863	329
724	864	327
725	865	326
726	865	325
727	867	323
728	867	322
729	869	321
730	870	320
731	871	319
732	872	317
733	873	316
734	874	315
735	875	314
736	876	312
737	877	311
738	878	310
739	879	308
740	880	307
741	881	306
742	883	305
743	884	304
744	885	303
745	886	301
746	887	300
747	888	299
748	889	298
749	890	296
750	891	295
751	892	294
752	893	293
753	895	292
754	896	290
755	896	289
756	897	288
757	898	286
758	899	285
759	900	284
760	901	282
761	901	281
762	903	280
763	904	279
764	906	278
765	907	277
766	908	275
767	909	274
768	909	273
769	910	272
770	911	270
771	912	269
772	913	268
773	914	267
774	915	265
775	917	264
776	918	263
777	919	262
778	920	261
779	921	259
780	922	258
781	923	257
782	924	256
783	924	254
784	925	253
785	927	252
786	928	251
787	929	249
788	930	248
789	930	247
790	931	246
791	932	244
792	933	243
793	933	242
794	934	240
795	935	239
796	935	238
797	936	237
798	937	235
799	939	234
800	940	233
801	941	232
802	942	231
803	942	229
804	943	228
805	944	227
806	945	226
807	945	224
808	946	223
809	947	222
810	947	220
811	949	219
812	950	218
813	951	217
814	952	216
815	953	215
816	954	213
817	954	212
818	955	211
819	956	210
820	957	208
821	958	207
822	959	206
823	960	205
824	961	203
825	962	202
826	963	201
827	964	200
828	965	199
829	966	197
830	967	196
831	968	195
832	968	194
833	969	192
834	970	191
835	971	190
836	971	189
837	973	188
838	974	186
839	975	185
840	976	184
841	977	183
842	977	182
843	978	180
844	979	179
845	980	178
846	980	177
847	981	175
848	982	174
849	983	173
850	984	172
851	985	171
852	986	169
853	987	168
854	988	167
855	989	166
856	989	165
857	990	163
858	991	162
859	992	161
860	993	160
861	993	159
862	994	157
863	995	156
864	996	155
865	997	154
866	998	153
867	999	152
868	1000	150
869	1001	149
870	1002	148
871	1002	147
872	1003	146
873	1004	144
874	1005	143
875	1006	142
876	1006	141
877	1007	140
878	1008	138
879	1010	137
880	1011	136
881	1012	135
882	1013	134
883	1013	133
884	1014	131
885	1015	130
886	1016	129
887	1017	128
888	1017	127
889	1018	125
890	1019	124
891	1020	123
892	1021	122
893	1022	121
894	1023	120
895	1024	118
896	1025	117
897	1025	116
898	1026	115
899	1027	114
900	1028	112
901	1028	111
902	1029	110
903	1030	109
904	1031	108
905	1032	107
906	1033	105
907	1034	104
908	1035	103
909	1036	102
910	1036	101
911	1037	100
912	1038	98
913	1039	97
914	1039	96
915	1040	95
916	1041	94
917	1042	93
918	1042	91
919	1043	90
920	1044	89
921	1046	88
922	1047	87
923	1048	86
924	1049	85
925	1049	83
926	1050	82
927	1051	81
928	1051	80
929	1052	79
930	1053	78
931	1054	76
932	1054	75
933	1056	74
934	1057	73
935	1058	72
936	1059	71
937	1060	70
938	1060	68
939	1061	67
940	1062	66
941	1063	65
942	1063	64
943	1064	63
944	1065	62
945	1066	60
946	1066	59
947	1067	58
948	1069	57
949	1070	56
950	1071	55
951	1072	54
952	1072	52
953	1073	51
954	1074	50
955	1075	49
956	1075	48
957	1076	47
958	1077	46
959	1078	44
960	1078	43
961	1080	42
962	1081	41
963	1082	40
964	1083	39
965	1084	38
966	1084	37
967	1085	35
968	1086	34
969	1087	33
970	1087	32
971	1088	31
972	1089	30
973	1089	29
974	1090	27
975	1091	26
976	1093	25
977	1095	24
978	1096	23
979	1097	22
980	1098	21
981	1099	20
982	1099	19
983	1100	17
984	1101	16
985	1102	15
986	1102	14
987	1103	13
988	1105	12
989	1106	11
990	1107	10
991	1108	8
992	1108	7
993	1109	6
994	1110	5
995	1110	4
996	1111	3
997	1112	2
998	1113	1
999	1113	0
